global_id,start,end,stroi,roads,stupid
797958776,2017-03-01T00:00:00,2017-09-30T00:00:00,0.32040086113550825,0.0,2.263157894736842
797958910,2017-03-01T00:00:00,2017-09-30T00:00:00,0.10891514909342048,0.0,3.25
797959025,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6623568266803905,0.0,1.5869565217391304
797962130,2017-03-01T00:00:00,2017-09-30T00:00:00,0.55415914387415,0.0,10.0
797962235,2017-03-01T00:00:00,2017-09-30T00:00:00,0.004645360954647848,0.0,1.4901960784313726
797962328,2017-03-01T00:00:00,2017-09-30T00:00:00,0.18964406995273608,0.0,2.52
797962401,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6252909314670374,0.0,6.5
797962516,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5222438643906746,0.0,1.5806451612903225
797962647,2017-03-01T00:00:00,2017-09-30T00:00:00,0.09771455015489094,0.0,1.8214285714285714
797962752,2017-03-01T00:00:00,2017-09-30T00:00:00,0.25753374396246953,0.0,2.7142857142857144
797962861,2017-03-01T00:00:00,2017-09-30T00:00:00,0.14521108921437265,0.0,1.3214285714285714
797962942,2017-03-01T00:00:00,2017-09-30T00:00:00,0.47131911706796803,0.0,2.7
797963063,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4402494741437111,0.0,1.85
797963146,2017-03-01T00:00:00,2017-09-30T00:00:00,0.7070663862202953,0.0,1.09375
797963212,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4670163849375477,0.0,1.5833333333333333
797963289,2017-03-01T00:00:00,2017-09-30T00:00:00,0.49821789373339986,0.0,2.9047619047619047
797963394,2017-03-01T00:00:00,2017-09-30T00:00:00,0.1357774920585343,0.0,2.5652173913043477
797963521,2017-03-01T00:00:00,2017-09-30T00:00:00,0.035308957766550964,0.0,1.8
797963621,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5637454914444455,0.0,2.088235294117647
797963759,2017-03-01T00:00:00,2017-09-30T00:00:00,0.10980101117327268,0.0,1.6
797963853,2017-03-01T00:00:00,2017-09-30T00:00:00,0.438274933765309,0.0,3.75
797963977,2017-03-01T00:00:00,2017-09-30T00:00:00,0.2921279852070957,0.0,2.129032258064516
797964069,2017-03-01T00:00:00,2017-09-30T00:00:00,0.10579616054202001,0.0,8.8
797964181,2017-03-01T00:00:00,2017-09-30T00:00:00,0.23898784023273756,0.0,5.6
797964268,2017-03-01T00:00:00,2017-09-30T00:00:00,0.0422404818124541,0.0,2.227272727272727
797964346,2017-03-01T00:00:00,2017-09-30T00:00:00,0.18031762821242747,0.0,2.5
797964347,2017-03-01T00:00:00,2017-09-30T00:00:00,0.12922897690385782,0.0,2.0869565217391304
797964348,2017-03-01T00:00:00,2017-09-30T00:00:00,0.3458328442526549,0.0,2.5172413793103448
797964349,2017-03-01T00:00:00,2017-09-30T00:00:00,0.1935883207341519,0.0,7.0
797964350,2017-03-01T00:00:00,2017-09-30T00:00:00,0.025833547836941584,0.0,4.0
797964361,2017-03-01T00:00:00,2017-09-30T00:00:00,0.21730299255648233,0.0,2.0
797964469,2017-03-01T00:00:00,2017-09-30T00:00:00,0.15129637069690638,0.0,1.3232323232323233
797964573,2017-03-01T00:00:00,2017-09-30T00:00:00,0.21231489476709697,0.0,2.6666666666666665
797964712,2017-03-01T00:00:00,2017-09-30T00:00:00,0.21704475669767487,0.0,2.210526315789474
797964855,2017-03-01T00:00:00,2017-09-30T00:00:00,0.12783045399006365,0.0,2.8
797965005,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4640398139748121,0.0,1.9523809523809523
797965141,2017-03-01T00:00:00,2017-09-30T00:00:00,0.08526584126230918,0.0,2.75
797965270,2017-03-01T00:00:00,2017-09-30T00:00:00,0.20766016669693843,0.0,3.142857142857143
797965422,2017-03-01T00:00:00,2017-09-30T00:00:00,0.20766016669693843,0.0,2.375
797965517,2017-03-01T00:00:00,2017-09-30T00:00:00,0.7276789675646549,0.0,2.0
797965669,2017-03-01T00:00:00,2017-09-30T00:00:00,0.046724709033945655,0.0,1.6666666666666667
797965794,2017-03-01T00:00:00,2017-09-30T00:00:00,0.08092125982556331,0.0,3.3448275862068964
797965903,2017-03-01T00:00:00,2017-09-30T00:00:00,0.1258072599828478,0.0,6.8
797966057,2017-03-01T00:00:00,2017-09-30T00:00:00,0.07333973122480453,0.0,2.3125
797966194,2017-03-01T00:00:00,2017-09-30T00:00:00,0.012665283243025516,0.0,3.090909090909091
797966301,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4782711274375897,0.0,2.2580645161290325
797966399,2017-03-01T00:00:00,2017-09-30T00:00:00,0.067216719821513,0.0,2.2222222222222223
797966508,2017-03-01T00:00:00,2017-09-30T00:00:00,0.4459050533720278,0.0,1.4583333333333333
797966605,2017-03-01T00:00:00,2017-09-30T00:00:00,0.39970774820022537,0.0,1.0277777777777777
797966714,2017-03-01T00:00:00,2017-09-30T00:00:00,0.039139731083402074,0.0,2.1153846153846154
797966837,2017-03-01T00:00:00,2017-09-30T00:00:00,0.2462968533517954,0.0,3.466666666666667
797966956,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5433634521475317,0.0,3.0
797967049,2017-03-01T00:00:00,2017-09-30T00:00:00,0.35857419842267035,0.0,5.0
797967163,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5769641828510136,0.0,3.2
797967269,2017-03-01T00:00:00,2017-09-30T00:00:00,0.174783554089883,0.0,3.25
797967351,2017-03-01T00:00:00,2017-09-30T00:00:00,0.6889440117339827,0.0,3.391304347826087
797967460,2017-03-01T00:00:00,2017-09-30T00:00:00,0.20764199826455454,0.0,4.6
797967558,2017-03-01T00:00:00,2017-09-30T00:00:00,0.16502305379993032,0.0,5.4
797967716,2017-03-01T00:00:00,2017-09-30T00:00:00,0.43478449364847704,0.0,4.066666666666666
797967838,2017-03-01T00:00:00,2017-09-30T00:00:00,0.5990552722964373,0.0,5.6
